H,Date/Time,k,MW,MW,MW
D,0,0,11391.478,10854.678,536.8
D,0.003472222,1,11331.305,10795.605,535.7
D,0.006944444,2,11261.979,10725.779,536.2
D,0.010416667,3,11208.52,10673.52,535
D,0.013888889,4,11165.533,10630.733,534.8
D,0.017361111,5,11097.623,10563.023,534.6
D,0.020833333,6,11062.059,10526.159,535.9
D,0.024305556,7,11001.059,10465.959,535.1
D,0.027777778,8,10966.322,10430.822,535.5
D,0.03125,9,10931.416,10397.616,533.8
D,0.034722222,10,10900.469,10365.369,535.1
D,0.038194444,11,10848.358,10313.458,534.9
D,0.041666667,12,10815.09,10281.39,533.7
D,0.045138889,13,10773.195,10239.795,533.4
D,0.048611111,14,10725.874,10190.974,534.9
D,0.052083333,15,10701.609,10167.209,534.4
D,0.055555556,16,10659.18,10126.08,533.1
D,0.059027778,17,10650.836,10117.136,533.7
D,0.0625,18,10601.827,10069.227,532.6
D,0.065972222,19,10580.392,10046.992,533.4
D,0.069444444,20,10559.662,10026.762,532.9
D,0.072916667,21,10508.608,9975.908,532.7
D,0.076388889,22,10479.887,9947.987,531.9
D,0.079861111,23,10481.068,9946.968,534.1
D,0.083333333,24,10476.418,9943.018,533.4
D,0.086805556,25,10711.813,9920.813,791
D,0.090277778,26,10668.409,9878.309,790.1
D,0.09375,27,10650.71,9861.31,789.4
D,0.097222222,28,10641.028,9850.428,790.6
D,0.100694444,29,10622.23,9830.43,791.8
D,0.104166667,30,10590.263,9800.563,789.7
D,0.107638889,31,10585.921,9794.721,791.2
D,0.111111111,32,10576.785,9786.085,790.7
D,0.114583333,33,10546.291,9757.691,788.6
D,0.118055556,34,10529.744,9742.444,787.3
D,0.121527778,35,10513,9725.3,787.7
D,0.125,36,10517.76,9729.26,788.5
D,0.128472222,37,10515.97,9726.57,789.4
D,0.131944444,38,10515.997,9725.897,790.1
D,0.135416667,39,10486.469,9698.469,788
D,0.138888889,40,10492.175,9704.475,787.7
D,0.142361111,41,10483.716,9697.416,786.3
D,0.145833333,42,10493.963,9707.163,786.8
D,0.149305556,43,10470.029,9684.629,785.4
D,0.152777778,44,10472.018,9685.318,786.7
D,0.15625,45,10478.866,9692.566,786.3
D,0.159722222,46,10456.514,9669.814,786.7
D,0.163194444,47,10485.452,9699.552,785.9
D,0.166666667,48,10488.669,9704.369,784.3
D,0.170138889,49,10532.933,9748.233,784.7
D,0.173611111,50,10541.094,9755.894,785.2
D,0.177083333,51,10558.43,9773.23,785.2
D,0.180555556,52,10557.064,9772.464,784.6
D,0.184027778,53,10315.914,9790.714,525.2
D,0.1875,54,10324.071,9796.771,527.3
D,0.190972222,55,10345.527,9819.727,525.8
D,0.194444444,56,10351.359,9825.559,525.8
D,0.197916667,57,10386.443,9860.443,526
D,0.201388889,58,10417.575,9890.375,527.2
D,0.204861111,59,10425.807,9898.507,527.3
D,0.208333333,60,10476.322,9949.722,526.6
D,0.211805556,61,10535.851,10009.651,526.2
D,0.215277778,62,10358.91,10083.31,275.6
D,0.21875,63,10373.352,10098.752,274.6
D,0.222222222,64,10401.423,10126.223,275.2
D,0.225694444,65,10407.295,10132.195,275.1
D,0.229166667,66,10456.711,10181.811,274.9
D,0.232638889,67,10490.858,10216.558,274.3
D,0.236111111,68,10540.809,10267.109,273.7
D,0.239583333,69,10588.307,10314.007,274.3
D,0.243055556,70,10634.992,10361.492,273.5
D,0.246527778,71,10698.874,10425.674,273.2
D,0.25,72,10793.941,10520.441,273.5
D,0.253472222,73,10939.052,10665.652,273.4
D,0.256944444,74,10973.679,10700.579,273.1
D,0.260416667,75,11034.488,10761.988,272.5
D,0.263888889,76,11098.731,10825.731,273
D,0.267361111,77,11158.039,10885.139,272.9
D,0.270833333,78,11201.165,10928.865,272.3
D,0.274305556,79,11239.572,10966.272,273.3
D,0.277777778,80,11294.391,11021.891,272.5
D,0.28125,81,11350.391,11078.691,271.7
D,0.284722222,82,11375.53,11103.73,271.8
D,0.288194444,83,11191.166,11191.166,0
D,0.291666667,84,11266.59,11266.59,0
D,0.295138889,85,11384.064,11384.064,0
D,0.298611111,86,11432.875,11432.875,0
D,0.302083333,87,11534.885,11534.885,0
D,0.305555556,88,11558.797,11558.797,0
D,0.309027778,89,11620.555,11620.555,0
D,0.3125,90,11687.414,11687.414,0
D,0.315972222,91,11770.57,11770.57,0
D,0.319444444,92,11770.963,11770.963,0
D,0.322916667,93,11867.922,11867.922,0
D,0.326388889,94,11939.325,11939.325,0
D,0.329861111,95,11977.557,11977.557,0
D,0.333333333,96,12089.738,12089.738,0
D,0.336805556,97,12170.965,12170.965,0
D,0.340277778,98,12230.299,12230.299,0
D,0.34375,99,12286.881,12286.881,0
D,0.347222222,100,12324.288,12324.288,0
D,0.350694444,101,12383.166,12383.166,0
D,0.354166667,102,12398.139,12398.139,0
D,0.357638889,103,12441.465,12441.465,0
D,0.361111111,104,12492.844,12492.844,0
D,0.364583333,105,12517.419,12517.419,0
D,0.368055556,106,12577.211,12577.211,0
D,0.371527778,107,12605.44,12605.44,0
D,0.375,108,12659.8,12659.8,0
D,0.378472222,109,12678.857,12678.857,0
D,0.381944444,110,12688.386,12688.386,0
D,0.385416667,111,12705.012,12705.012,0
D,0.388888889,112,12740.128,12740.128,0
D,0.392361111,113,12764.653,12764.653,0
